,Date,Oil,Min,Max,Diff,Refil
0,2020-12-31,3.8047038327526135,3.72,3.94,,False
1,2021-01-01,3.664236111111111,3.61,3.83,0.14046772164150267,False
2,2021-01-02,3.567604166666667,3.5,3.72,0.0966319444444439,False
3,2021-01-03,3.4194097222222224,3.28,3.61,0.14819444444444452,False
4,2021-01-04,3.3029166666666665,3.18,3.39,0.11649305555555589,False
5,2021-01-05,3.1842361111111113,3.07,3.28,0.11868055555555523,False
6,2021-01-06,3.053159722222222,2.97,3.18,0.13107638888888928,False
7,2021-01-07,2.951944444444445,2.87,3.07,0.10121527777777706,False
8,2021-01-08,2.791840277777778,2.66,2.87,0.16010416666666671,False
9,2021-01-09,2.6496875,2.56,2.77,0.14215277777777802,False
10,2021-01-10,2.4577083333333336,2.27,2.66,0.1919791666666666,False
11,2021-01-11,2.2491666666666665,2.17,2.37,0.20854166666666707,False
12,2021-01-12,1.9892013888888889,1.8,2.17,0.25996527777777767,False
13,2021-01-13,1.7906944444444446,1.63,1.89,0.19850694444444428,False
14,2021-01-14,6.518194444444444,1.54,12.11,0.1079999999999981,True
15,2021-01-15,11.422673611111112,11.22,11.6,0.09932638888888867,False
16,2021-01-16,11.172569444444445,10.96,11.34,0.25010416666666657,False
17,2021-01-17,10.900868055555556,10.83,11.09,0.2717013888888893,False
18,2021-01-18,10.770555555555555,10.58,10.96,0.1303125000000005,False
19,2021-01-19,10.519166666666667,10.32,10.83,0.2513888888888882,False
20,2021-01-20,10.317291666666668,10.19,10.45,0.20187499999999936,False
21,2021-01-21,10.188645833333332,10.06,10.32,0.12864583333333535,False
22,2021-01-22,10.065798611111113,9.94,10.19,0.12284722222221944,False
23,2021-01-23,9.956215277777778,9.81,10.06,0.10958333333333492,False
24,2021-01-24,9.848715277777778,9.81,10.06,0.10749999999999993,False
25,2021-01-25,9.742743055555556,9.68,9.94,0.10597222222222236,False
26,2021-01-26,9.634236111111111,9.56,9.81,0.10850694444444464,False
27,2021-01-27,9.43920138888889,9.3,9.68,0.1950347222222213,False
28,2021-01-28,9.234097222222223,9.04,9.3,0.20510416666666664,False
29,2021-01-29,9.08829861111111,9.04,9.3,0.14579861111111292,False
30,2021-01-30,8.9684375,8.92,9.17,0.11986111111110986,False
31,2021-01-31,8.849027777777778,8.66,9.04,0.11940972222222257,False
32,2021-02-01,8.6478125,8.53,8.79,0.20121527777777715,False
33,2021-02-02,8.507291666666667,8.41,8.66,0.14052083333333343,False
34,2021-02-03,8.378437499999999,8.28,8.53,0.1288541666666685,False
35,2021-02-04,8.30347222222222,8.28,8.41,0.07496527777777828,False
36,2021-02-05,8.20326388888889,8.15,8.41,0.10020833333333101,False
37,2021-02-06,8.085555555555555,8.03,8.28,0.11770833333333464,False
